TeamBlueTopGoldEarned,TeamBlueTopChampionName,TeamBlueTopDamageDealt,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopGoldEarned,TeamRedTopChampionName,TeamRedTopDamageDealt,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleGoldEarned,TeamBlueJungleChampionName,TeamBlueJungleDamageDealt,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleGoldEarned,TeamRedJungleChampionName,TeamRedJungleDamageDealt,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidGoldEarned,TeamBlueMidChampionName,TeamBlueMidDamageDealt,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidGoldEarned,TeamRedMidChampionName,TeamRedMidDamageDealt,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCGoldEarned,TeamBlueADCChampionName,TeamBlueADCDamageDealt,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCGoldEarned,TeamRedADCChampionName,TeamRedADCDamageDealt,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportGoldEarned,TeamBlueSupportChampionName,TeamBlueSupportDamageDealt,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportGoldEarned,TeamRedSupportChampionName,TeamRedSupportDamageDealt,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,win
13380,36,21345,140,98,1100,8411,40,13629,269,235,1091,11584,143,14984,371,316,1575,10718,149,18044,100,100,1000,12860,61,20610,100,100,1000,9342,112,16581,207,159,1209,11317,53,17883,100,100,1000,11505,150,20421,445,371,1847,8961,95,9850,504,463,1003,6353,78,2730,432,401,1007,1
10314,48,14117,100,100,1000,9675,61,18441,134,70,1437,8940,67,12007,315,272,1178,14351,14,22479,250,213,1320,8762,103,12051,100,100,1000,9170,107,16761,351,311,1195,10332,87,12153,100,100,1000,10918,53,15869,100,100,1000,6474,141,13705,100,100,1000,7847,95,9114,100,100,1000,0
6101,90,6563,312,245,1558,8983,48,12621,177,138,1019,8562,47,10139,100,100,1000,10740,144,13375,328,280,1377,8369,123,18461,100,100,1000,8957,80,20331,100,100,1000,6338,51,10587,111,78,1098,11092,135,19607,149,114,1005,6409,102,7778,100,100,1000,6681,84,6303,100,100,1000,0
11099,90,12304,100,100,1000,14890,35,26713,215,175,1086,10979,28,18469,100,100,1000,14015,63,19791,100,100,1000,11836,122,25145,100,100,1000,14505,107,24230,100,100,1000,14029,51,26885,100,100,1000,13016,21,16605,100,100,1000,8516,130,10213,100,100,1000,8549,110,12950,205,175,1008,0
15438,38,39652,100,100,1000,15993,52,30746,437,413,1074,13458,47,19348,100,100,1000,15702,41,29004,100,100,1000,16406,96,40188,100,100,1000,15947,123,36656,100,100,1000,16267,138,31461,100,100,1000,21868,51,46537,100,100,1000,8654,15,13787,333,280,1367,11105,130,11234,284,240,1275,0
16585,61,33046,134,70,1437,13245,32,22632,194,148,1187,15278,47,26432,100,100,1000,11554,144,16820,117,72,1006,10708,123,18230,100,100,1000,13506,3,32808,100,100,1000,14979,18,28680,84,57,1192,13027,30,23984,100,100,1000,9011,55,9907,240,201,1092,10961,110,21862,226,193,1183,1
5862,117,5971,114,73,1242,4713,106,8688,100,100,1000,8319,41,6908,100,100,1000,8161,39,11433,175,137,1330,5143,38,5069,277,209,1373,7220,124,8008,100,100,1000,4844,9,4054,393,369,1045,10284,138,12193,221,173,1136,4280,82,2994,216,188,1043,4349,130,4319,280,233,1516,0
13772,19,17476,100,100,1000,9626,23,14802,100,100,1000,13430,39,19286,100,100,1000,11291,60,22553,369,317,1010,12564,146,25320,100,100,1000,11504,153,17463,172,140,1116,12800,10,13458,100,100,1000,11037,141,21860,100,100,1000,9636,98,8590,216,192,1005,9647,110,22753,100,100,1000,1
13081,106,29434,190,150,1043,9016,114,9007,100,100,1000,14785,104,21306,100,100,1000,13284,67,19370,366,326,1033,14526,2,26293,100,100,1000,12659,124,20971,100,100,1000,14207,118,29119,100,100,1000,12086,138,22743,180,146,986,9696,130,10056,100,100,1000,6300,5,5895,100,100,1000,1
11761,49,28209,100,100,1000,14329,21,31090,306,273,1038,17178,60,35594,100,100,1000,15230,86,27065,423,379,1064,13967,145,40190,100,100,1000,12138,96,28292,100,100,1000,13540,53,28950,165,136,1027,18729,159,37599,100,100,1000,7397,15,10393,100,100,1000,11099,78,7836,100,100,1000,0
10269,74,16579,149,112,1080,11969,61,19138,259,219,1058,15042,86,27788,423,379,1064,12464,143,16387,240,200,1192,11620,123,22753,226,193,1183,17992,142,39084,100,100,1000,14043,51,26276,233,186,1219,16946,150,31558,177,137,1104,7597,78,4318,100,100,1000,8117,15,7915,234,181,1035,0
